Name,Number,Type,Street,Quarter,Plan_number
FM Rénovation,41,Bâtiment,Chemin de la Daille,La Daille,2
Fohen,155,Chalet,Rue de la Calabourdanne,La Calabourdanne,7
Folie Douce La,275,Commerce,Avenue Olympique,Les Lèches,7
Fondue Factory,211,Restaurant,Avenue Olympique,Le Dôme,7
Fonti,347,Chalet,Rue des Célibataires,Le Rogoney,8
Forêt,542,Chalet,Rue du Fornet,Le Fornet,15
Forêt La,175,Résidence,Route de la Balme,La Balme,5
Fornet,538,Hôtel,Rue du Fornet,Le Fornet,15
Fornet (Chalet du),554,Chalet,Route du Fornet,Le Fornet,15
Fornet 1,560,Chalet,Route du Fornet,Le Fornet,15
Fornet 2,557,Chalet,Route du Fornet,Le Fornet,15
Fox Trot,386,Chalet,Accès par Rue du Joseray,Châtelard,11
France Telecom,74,Logements,Avenue Olympique,Le Clos,3
Franchet,11,Résidence,Rue du Rosoleil,La Daille,1
Franchet Le,466,Chalet,Rue Nicolas Bazile,Vieux Village,8
Frojo,290,Bijouterie,Avenue du Prariond,Le Thovex,7
Galise La,447,Hôtel,Rue de la Galise,Vieux Village,8
Gallet,382,Chalet,Accès par Rue du Joseray,Châtelard,11
Garage,664,Garage,Chemin de la Ruaz,Le Crêt,3
Garage à Dameuse,21,Garage,Rue des étroits,La Daille,2
Garage bus STVI,5,Garage,D902,La Daille,5
Garage communal,1,Garage,La Daille,La Daille,1
